Individual	Population	State	Original	Subspecies_Pure	Within_Subspecies
1710-20367	Bigelow Meadows	CA	brw	brew_pure	brew_South
1710-20368	Bigelow Meadows	CA	brw	brew_pure	brew_South
1710-20369	Bigelow Meadows	CA	brw	brew_pure	brew_South
1710-20371	Bigelow Meadows	CA	brw	brew_pure	brew_South
1710-46314	Bigelow Meadows	CA	brw	brew_pure	brew_South
1710-46315	Bigelow Meadows	CA	brw	brew_pure	brew_South
1590-97279	Finley NWR	OR	brw	brew_pure	NA
1710-20525	Finley NWR	OR	brw	brew_pure	NA
1710-20526	Finley NWR	OR	brw	brew_pure	NA
1590-97273	Jones Creek	OR	brw	brew_pure	NA
1590-97274	Jones Creek	OR	brw	brew_pure	NA
1710-20514	Jones Creek	OR	brw	brew_pure	NA
1710-20515	Jones Creek	OR	brw	brew_pure	NA
1710-20516	Jones Creek	OR	brw	brew_pure	NA
1710-20517	Jones Creek	OR	brw	brew_pure	NA
1710-20518	Jones Creek	OR	brw	brew_pure	NA
1710-20519	Jones Creek	OR	brw	brew_pure	NA
1710-20520	Jones Creek	OR	brw	brew_pure	NA
1710-20521	Jones Creek	OR	brw	brew_pure	NA
1590-97281	Priem Road	OR	brw	brew_pure	NA
1590-97282	Priem Road	OR	brw	brew_pure	NA
1710-20527	Priem Road	OR	brw	brew_pure	NA
1710-20528	Priem Road	OR	brw	brew_pure	NA
1710-20529	Priem Road	OR	brw	brew_pure	NA
1710-20531	Priem Road	OR	brw	brew_pure	NA
1710-46168	Carbondale	WA	brw	brew_pure	brew_North
1710-46169	Carbondale	WA	brw	brew_pure	brew_North
1710-46170	Carbondale	WA	brw	brew_pure	brew_North
1710-46171	Carbondale	WA	brw	brew_pure	brew_North
1710-46172	Carbondale	WA	brw	brew_pure	brew_North
1710-46165	Edgwick	WA	brw	brew_pure	brew_North
1710-46166	Edgwick	WA	brw	brew_pure	brew_North
1590-97284	Fork clearcut	WA	brw	brew_pure	brew_North
1710-20539	Fork clearcut	WA	brw	brew_pure	brew_North
1710-20540	Fork clearcut	WA	brw	brew_pure	brew_North
1710-20541	Fork clearcut	WA	brw	brew_pure	brew_North
1710-20507	Fall Creek 2	ID	ada	ada_pure	NA
1710-20508	Fall Creek 2	ID	ada	ada_pure	NA
1740-91946	Fall Creek 2	ID	ada	ada_pure	NA
