ID	Area	State	Subspecies
1710-46168	Carbondale	WA	brw
1710-46169	Carbondale	WA	brw
1710-46170	Carbondale	WA	brw
1710-46171	Carbondale	WA	brw
1710-46172	Carbondale	WA	brw
1710-46165	Edgwick	WA	brw
1710-46166	Edgwick	WA	brw
1590-97284	Fork clearcut	WA	brw
1710-20539	Fork clearcut	WA	brw
1710-20540	Fork clearcut	WA	brw
1710-20541	Fork clearcut	WA	brw
1590-97279	Finley NWR	OR	brw
1710-20525	Finley NWR	OR	brw
1710-20526	Finley NWR	OR	brw
1590-97273	Jones Creek	OR	brw
1590-97274	Jones Creek	OR	brw
1710-20514	Jones Creek	OR	brw
1710-20515	Jones Creek	OR	brw
1710-20516	Jones Creek	OR	brw
1710-20517	Jones Creek	OR	brw
1710-20518	Jones Creek	OR	brw
1710-20519	Jones Creek	OR	brw
1710-20520	Jones Creek	OR	brw
1710-20521	Jones Creek	OR	brw
1590-97281	Priem Road	OR	brw
1590-97282	Priem Road	OR	brw
1710-20527	Priem Road	OR	brw
1710-20528	Priem Road	OR	brw
1710-20529	Priem Road	OR	brw
1710-20531	Priem Road	OR	brw
1710-20367	Bigelow Meadows	CA	brw
1710-20368	Bigelow Meadows	CA	brw
1710-20369	Bigelow Meadows	CA	brw
1710-20371	Bigelow Meadows	CA	brw
1710-46314	Bigelow Meadows	CA	brw
1710-46315	Bigelow Meadows	CA	brw
2170-11718	South Fork Kern River	CA	ext
2170-11725	South Fork Kern River	CA	ext
2170-11726	South Fork Kern River	CA	ext
2170-11727	South Fork Kern River	CA	ext
2170-11728	South Fork Kern River	CA	ext
2170-11753	South Fork Kern River	CA	ext
2170-11865	South Fork Kern River	CA	ext
2290-20010	South Fork Kern River	CA	ext
2290-20023	South Fork Kern River	CA	ext
2290-20025	South Fork Kern River	CA	ext
2290-20029	South Fork Kern River	CA	ext
2290-20034	South Fork Kern River	CA	ext
2290-20066	South Fork Kern River	CA	ext
2450-87066	San Diego	CA	ext
2450-87070	San Diego	CA	ext
2580-61405	San Diego	CA	ext
2580-61406	San Diego	CA	ext
2640-78804	San Diego	CA	ext
2640-79001	San Diego	CA	ext
1590-97252	Roosevelt Lake	AZ	ext
1710-20576	Roosevelt Lake	AZ	ext
1710-20605	Roosevelt Lake	AZ	ext
1710-20698	Roosevelt Lake	AZ	ext
1740-51644	Roosevelt Lake	AZ	ext
1740-51717	Roosevelt Lake	AZ	ext
1740-51750	Roosevelt Lake	AZ	ext
1740-51820	Roosevelt Lake	AZ	ext
1740-51881	Roosevelt Lake	AZ	ext
1740-91591	Roosevelt Lake	AZ	ext
1590-97239	San Pedro	AZ	ext
1590-97241	San Pedro	AZ	ext
1710-20402	San Pedro	AZ	ext
1710-20453	San Pedro	AZ	ext
1710-20469	San Pedro	AZ	ext
1710-20482	San Pedro	AZ	ext
1710-20491	San Pedro	AZ	ext
1740-91619	San Pedro	AZ	ext
1740-91636	San Pedro	AZ	ext
1590-97247	San Pedro/Gila River confluence	AZ	ext
1740-91611	San Pedro/Gila River confluence	AZ	ext
1740-91617	San Pedro/Gila River confluence	AZ	ext
1740-91618	San Pedro/Gila River confluence	AZ	ext
1740-91620	San Pedro/Gila River confluence	AZ	ext
